8, 21
189, 78, 21
189, 78, 21
189, 71, 21
189, 109, 21
189, 109, 21
189, 89, 21
189, 78, 21
189, 71, 21
189, 78, 21
78, 21
189, 78, 21
189, 78, 21
189, 71, 21
189, 109, 21
189, 109, 21
189, 89, 21
189, 78, 21
189, 71, 21
189, 78, 21
78, 21
189, 78, 21
189, 78, 21
189, 71, 21
189, 109, 21
189, 109, 21
189, 89, 21
189, 78, 21
189, 71, 21
189, 78, 21
87, 0, 0
87, 0, 10
87, 23, 13
87, 40, 15
87, 3, 16
87, 0, 17
87, 58, 17
87, 22, 18
87, 27, 18
87, 48, 18
87, 27, 20
87, 42, 21
87, 50, 21
87, 29, 21
87, 74, 21
87, 18, 21
87, 54, 21
87, 78, 21
87, 15, 21
87, 53, 21
87, 78, 21
87, 29, 21
87, 50, 21
87, 74, 21
87, 50, 21
87, 26, 21
87, 82, 21
87, 66, 21
87, 37, 21
87, 42, 21
87, 74, 21
87, 82, 21
87, 26, 21
87, 46, 21
87, 74, 21
87, 74, 21
87, 40, 21
87, 40, 21
87, 70, 21
87, 82, 21
87, 44, 21
87, 35, 21
87, 63, 21
87, 78, 21
87, 71, 21
87, 35, 21
87, 44, 21
87, 78, 21
87, 74, 21
87, 50, 21
87, 29, 21
87, 74, 21
87, 67, 21
87, 78, 21
87, 33, 21
87, 46, 21
87, 74, 21
87, 82, 21
87, 46, 21
87, 33, 21
87, 63, 21
87, 74, 21
87, 82, 21
87, 29, 21
87, 50, 21
87, 70, 21
87, 74, 21
87, 60, 21
87, 31, 21
87, 63, 21
87, 74, 21
87, 70, 21
87, 50, 21
87, 33, 21
87, 78, 21
87, 63, 21
87, 82, 21
87, 29, 21
87, 50, 21
87, 74, 21
87, 74, 21
87, 55, 21
87, 35, 21
87, 59, 21
87, 74, 21
87, 78, 21
87, 31, 21
87, 40, 21
87, 78, 21
87, 78, 21
87, 59, 21
87, 35, 21
87, 53, 21
87, 78, 21
87, 74, 21
87, 46, 21
87, 33, 21
87, 70, 21
87, 78, 21
87, 74, 21
87, 33, 21
87, 46, 21
87, 66, 21
87, 78, 21
87, 63, 21
87, 35, 21
87, 59, 21
87, 70, 21
87, 70, 21
87, 50, 21
87, 29, 21
87, 82, 21
87, 70, 21
87, 74, 21
87, 33, 21
87, 46, 21
87, 74, 21
87, 78, 21
87, 54, 21
87, 33, 21
87, 62, 21
87, 78, 21
87, 74, 21
87, 39, 21
87, 35, 21
87, 78, 21
87, 78, 21
87, 66, 21
87, 35, 21
87, 44, 21
87, 82, 21
87, 71, 21
87, 54, 21
87, 33, 21
87, 62, 21
87, 78, 21
87, 78, 21
87, 37, 21
87, 35, 21
87, 71, 21
87, 82, 21
87, 59, 21
87, 39, 21
87, 48, 21
87, 78, 21
87, 78, 21
87, 46, 21
87, 37, 21
87, 63, 21
87, 82, 21
87, 74, 21
87, 39, 21
87, 33, 21
87, 82, 21
87, 74, 21
87, 63, 21
87, 37, 21
87, 46, 21
87, 78, 21
87, 78, 21
87, 48, 21
87, 39, 21
87, 59, 21
87, 74, 21
87, 74, 21
87, 35, 21
87, 44, 21
87, 70, 21
87, 74, 21
87, 66, 21
87, 28, 21
189, 66, 21
189, 70, 21
189, 74, 21
189, 81, 21
189, 78, 21
189, 67, 21
189, 78, 21
189, 78, 21
189, 78, 21
189, 74, 21
189, 88, 21
189, 105, 21
189, 100, 21
189, 78, 21
189, 78, 21
189, 78, 21
189, 74, 21
189, 89, 21
189, 104, 21
189, 109, 21
189, 74, 21
189, 78, 21
189, 74, 21
189, 78, 21
189, 99, 21
189, 109, 21
189, 81, 21
189, 82, 21
189, 70, 21
189, 78, 21
189, 100, 21
189, 109, 21
189, 89, 21
189, 82, 21
189, 74, 21
189, 74, 21
189, 89, 21
189, 109, 21
189, 109, 21
189, 78, 21
189, 74, 21
189, 74, 21
189, 78, 21
189, 104, 21
189, 107, 21
189, 78, 21
189, 82, 21
189, 74, 21
189, 78, 21
189, 104, 21
189, 100, 21
189, 93, 21
189, 78, 21
189, 74, 21
189, 78, 21
189, 85, 21
189, 109, 21
189, 104, 21
189, 82, 21
189, 74, 21
189, 74, 21
189, 74, 21
189, 109, 21
189, 107, 21
189, 78, 21
189, 78, 21
189, 74, 21
189, 78, 21
189, 109, 21
189, 100, 21
189, 89, 21
189, 78, 21
189, 78, 21
189, 78, 21
189, 89, 21
189, 104, 21
189, 104, 21
189, 82, 21
189, 74, 21
189, 74, 21
189, 74, 21
189, 109, 21
189, 107, 21
189, 82, 21
189, 74, 21
189, 78, 21
189, 74, 21
189, 109, 21
189, 100, 21
189, 89, 21
189, 78, 21
189, 78, 21
189, 74, 21
189, 93, 21
189, 104, 21
189, 104, 21
189, 78, 21
189, 78, 21
189, 74, 21
189, 78, 21
189, 104, 21
189, 113, 21
189, 74, 21
189, 82, 21
189, 71, 21
189, 78, 21
189, 109, 21
189, 104, 21
189, 93, 21
189, 71, 21
189, 78, 21
189, 74, 21
189, 93, 21
189, 104, 21
189, 107, 21
189, 74, 21
189, 74, 21
189, 74, 21
189, 89, 21
189, 99, 21
189, 109, 21
189, 74, 21
189, 82, 21
189, 74, 21
189, 74, 21
189, 104, 21
189, 109, 21
189, 93, 21
189, 78, 21
189, 71, 21
189, 78, 21
189, 89, 21
189, 113, 21
189, 93, 21
189, 74, 21
189, 78, 21
189, 78, 21
189, 93, 21
189, 104, 21
189, 104, 21
189, 74, 21
189, 82, 21
189, 74, 21
189, 78, 21
189, 99, 21
189, 109, 21
189, 89, 21
189, 74, 21
189, 70, 21
189, 78, 21
189, 100, 21
189, 109, 21
189, 89, 21
189, 82, 21
189, 71, 21
189, 78, 21
189, 89, 21
189, 109, 21
189, 107, 21
189, 74, 21
189, 74, 21
189, 78, 21
189, 74, 21
189, 109, 21
189, 102, 21
189, 82, 21
189, 78, 21
189, 74, 21
189, 78, 21
189, 104, 21
189, 104, 21
133, 93, 21
133, 78, 21
133, 67, 21
133, 85, 21
133, 70, 21
133, 93, 21
133, 89, 21
133, 93, 21
133, 81, 21
133, 93, 21
133, 81, 21
133, 74, 21
133, 70, 21
133, 85, 21
133, 67, 21
133, 78, 21
133, 78, 21
133, 70, 21
133, 81, 21
133, 66, 21
133, 81, 21
133, 74, 21
133, 74, 21
133, 82, 21
133, 67, 21
133, 82, 21
133, 85, 21
133, 78, 21
133, 78, 21
133, 89, 21
133, 71, 21
133, 85, 21
133, 85, 21
133, 78, 21
133, 85, 21
133, 74, 21
133, 82, 21
133, 81, 21
133, 82, 21
133, 78, 21
133, 66, 21
133, 78, 21
133, 82, 21
133, 66, 21
133, 85, 21
133, 70, 21
133, 74, 21
133, 78, 21
133, 74, 21
133, 74, 21
133, 82, 21
133, 67, 21
133, 78, 21
133, 78, 21
133, 74, 21
133, 74, 21
133, 82, 21
133, 67, 21
133, 78, 21
133, 78, 21
133, 78, 21
133, 70, 21
133, 78, 21
133, 78, 21
133, 85, 21
133, 78, 21
133, 81, 21
133, 85, 21
133, 71, 21
133, 82, 21
133, 81, 21
133, 82, 21
133, 78, 21
133, 81, 21
133, 78, 21
133, 82, 21
133, 81, 21
133, 82, 21
133, 78, 21
133, 66, 21
133, 78, 21
133, 82, 21
133, 66, 21
133, 82, 21
133, 74, 21
133, 70, 21
133, 78, 21
133, 82, 21
133, 70, 21
133, 78, 21
133, 71, 21
133, 78, 21
133, 70, 21
133, 82, 21
133, 78, 21
133, 66, 21
133, 82, 21
133, 78, 21
133, 74, 21
133, 74, 21
133, 82, 21
133, 67, 21
133, 78, 21
133, 78, 21
133, 82, 21
133, 81, 21
133, 82, 21
133, 78, 21
133, 82, 21
133, 78, 21
133, 82, 21
133, 81, 21
133, 74, 21
133, 78, 21
133, 85, 21
133, 78, 21
133, 82, 21
133, 74, 21
133, 85, 21
133, 74, 21
133, 78, 21
133, 70, 21
133, 81, 21
133, 70, 21
133, 74, 21
133, 81, 21
133, 70, 21
133, 82, 21
133, 74, 21
133, 74, 21
133, 74, 21
133, 82, 21
133, 70, 21
133, 74, 21
133, 78, 21
133, 78, 21
133, 70, 21
133, 78, 21
133, 74, 21
133, 74, 21
133, 74, 21
133, 82, 21
133, 70, 21
133, 78, 21
133, 78, 21
133, 81, 21
133, 78, 21
133, 82, 21
133, 81, 21
133, 82, 21
133, 74, 21
133, 85, 21
133, 78, 21
133, 82, 21
133, 81, 21
133, 82, 21
133, 74, 21
133, 85, 21
133, 78, 21
133, 82, 21
133, 70, 21
133, 74, 21
133, 82, 21
133, 66, 21
133, 82, 21
133, 78, 21
133, 70, 21
133, 74, 21
133, 82, 21
133, 70, 21
133, 78, 21
58, 78, 21
58, 70, 21
58, 78, 21
58, 74, 21
58, 74, 21
58, 78, 21
58, 63, 21
58, 46, 21
58, 40, 21
58, 70, 21
58, 74, 21
58, 78, 21
58, 22, 21
58, 58, 21
58, 74, 21
58, 46, 21
58, 28, 21
58, 74, 21
58, 52, 21
58, 27, 21
58, 78, 21
58, 29, 21
58, 50, 21
58, 70, 21
58, 0, 21
58, 74, 21
58, 29, 21
58, 40, 21
58, 66, 21
58, 18, 21
58, 74, 21
58, 0, 21
58, 74, 21
58, 11, 21
58, 70, 21
58, 14, 21
58, 58, 21
58, 29, 21
58, 46, 21
58, 29, 21
58, 46, 21
58, 33, 21
58, 42, 21
58, 35, 21
58, 39, 21
58, 37, 21
58, 39, 21
58, 33, 21
58, 42, 21
58, 35, 21
58, 40, 21
58, 29, 21
58, 44, 21
58, 31, 21
58, 44, 21
58, 19, 21
58, 52, 21
58, 19, 21
58, 63, 21
58, 7, 21
58, 63, 21
58, 3, 21
58, 70, 21
58, 0, 21
58, 74, 21
58, 3, 21
58, 66, 21
58, 3, 21
58, 74, 21
58, 3, 21
58, 60, 21
58, 7, 21
58, 59, 21
58, 19, 21
58, 44, 21
58, 23, 21
58, 44, 21
58, 35, 21
58, 31, 21
58, 46, 21
58, 15, 21
58, 52, 21
58, 19, 21
58, 59, 21
58, 0, 21
58, 78, 21
58, 0, 21
58, 74, 21
58, -3, 21
58, 67, 21
58, 3, 21
58, 59, 21
58, 19, 21
58, 44, 21
58, 23, 21
58, 48, 21
58, 31, 21
58, 28, 21
58, 50, 21
58, 18, 21
58, 50, 21
58, 18, 21
58, 62, 21
58, 3, 21
58, 78, 21
58, 0, 21
58, 63, 21
58, 3, 21
58, 74, 21
58, 0, 21
58, 63, 21
58, 15, 21
58, 48, 21
58, 19, 21
58, 48, 21
58, 31, 21
58, 28, 21
58, 50, 21
58, 14, 21
58, 62, 21
58, 3, 21
58, 66, 21
58, 3, 21
58, 74, 21
58, 3, 21
58, 78, 21
58, 0, 21
58, 62, 21
58, 18, 21
58, 46, 21
58, 26, 21
58, 39, 21
58, 37, 21
58, 27, 21
58, 46, 21
58, 17, 21
58, 62, 21
58, 0, 21
58, 82, 21
58, 0, 21
58, 78, 21
58, -3, 21
58, 74, 21
58, 3, 21
58, 62, 21
58, 14, 21
58, 44, 21
58, 33, 21
58, 31, 21
58, 40, 21
58, 27, 21
58, 48, 21
58, 15, 21
58, 63, 21
58, 0, 21
58, 71, 21
58, -3, 21
58, 70, 21
58, 3, 21
58, 74, 21
58, 3, 21
58, 59, 21
58, 15, 21
58, 50, 21
58, 18, 21
58, 40, 21
58, 37, 21
58, 27, 21
58, 44, 21
58, 15, 21
58, 59, 21
150, 3, 21
150, 67, 21
150, 31, 21
150, 48, 21
150, 78, 21
150, 70, 21
150, 62, 21
150, 53, 21
150, 66, 21
150, 63, 21
150, 78, 21
150, 70, 21
150, 82, 21
150, 71, 21
150, 85, 21
150, 81, 21
150, 89, 21
150, 81, 21
150, 85, 21
150, 85, 21
150, 78, 21
150, 78, 21
150, 82, 21
150, 78, 21
150, 71, 21
150, 78, 21
150, 74, 21
150, 78, 21
150, 74, 21
150, 89, 21
150, 89, 21
150, 93, 21
150, 89, 21
150, 93, 21
150, 71, 21
150, 78, 21
150, 70, 21
150, 78, 21
150, 70, 21
150, 82, 21
150, 71, 21
150, 89, 21
150, 89, 21
150, 93, 21
150, 89, 21
150, 93, 21
150, 71, 21
150, 78, 21
150, 74, 21
150, 82, 21
150, 74, 21
150, 74, 21
150, 74, 21
150, 78, 21
150, 89, 21
150, 93, 21
150, 93, 21
150, 88, 21
150, 93, 21
150, 74, 21
150, 78, 21
150, 70, 21
150, 74, 21
150, 78, 21
150, 74, 21
150, 78, 21
150, 82, 21
150, 85, 21
150, 93, 21
150, 89, 21
150, 97, 21
150, 74, 21
150, 74, 21
150, 74, 21
150, 82, 21
150, 74, 21
150, 78, 21
150, 74, 21
150, 74, 21
150, 89, 21
150, 93, 21
150, 89, 21
150, 97, 21
150, 85, 21
150, 78, 21
150, 74, 21
150, 74, 21
150, 78, 21
150, 71, 21
150, 78, 21
150, 74, 21
150, 89, 21
150, 89, 21
150, 93, 21
150, 85, 21
150, 93, 21
150, 74, 21
150, 82, 21
150, 74, 21
150, 78, 21
150, 71, 21
150, 78, 21
150, 74, 21
150, 78, 21
150, 93, 21
150, 89, 21
150, 89, 21
150, 93, 21
150, 89, 21
150, 74, 21
150, 67, 21
150, 82, 21
150, 70, 21
150, 82, 21
150, 74, 21
150, 74, 21
150, 89, 21
150, 93, 21
150, 89, 21
150, 93, 21
150, 93, 21
150, 71, 21
150, 78, 21
150, 74, 21
150, 82, 21
150, 74, 21
150, 74, 21
150, 74, 21
150, 78, 21
150, 89, 21
150, 97, 21
150, 85, 21
150, 97, 21
150, 74, 21
150, 78, 21
150, 74, 21
150, 82, 21
150, 71, 21
150, 78, 21
150, 74, 21
150, 78, 21
150, 89, 21
150, 93, 21
150, 85, 21
150, 97, 21
150, 89, 21
150, 78, 21
150, 67, 21
150, 78, 21
150, 70, 21
150, 78, 21
150, 82, 21
150, 74, 21
150, 93, 21
150, 85, 21
150, 93, 21
150, 89, 21
150, 93, 21
150, 74, 21
150, 74, 21
150, 78, 21
150, 78, 21
150, 74, 21
150, 78, 21
150, 74, 21
150, 74, 21
150, 89, 21
150, 97, 21
150, 89, 21
150, 97, 21
150, 71, 21
172, 78, 21
172, 78, 21
172, 78, 21
172, 78, 21
172, 70, 21
172, 78, 21
172, 105, 21
172, 93, 21
172, 96, 21
172, 81, 21
172, 74, 21
172, 74, 21
172, 82, 21
172, 74, 21
172, 88, 21
172, 105, 21
172, 100, 21
172, 85, 21
172, 71, 21
172, 74, 21
172, 74, 21
172, 78, 21
172, 104, 21
172, 96, 21
172, 100, 21
172, 74, 21
172, 74, 21
172, 82, 21
172, 67, 21
172, 89, 21
172, 96, 21
172, 105, 21
172, 85, 21
172, 74, 21
172, 81, 21
172, 74, 21
172, 74, 21
172, 97, 21
172, 100, 21
172, 100, 21
172, 78, 21
172, 82, 21
172, 70, 21
172, 74, 21
172, 78, 21
172, 105, 21
172, 105, 21
172, 96, 21
172, 70, 21
172, 74, 21
172, 82, 21
172, 70, 21
172, 89, 21
172, 96, 21
172, 100, 21
172, 85, 21
172, 85, 21
172, 70, 21
172, 74, 21
172, 78, 21
172, 89, 21
172, 104, 21
172, 101, 21
172, 85, 21
172, 70, 21
172, 74, 21
172, 82, 21
172, 70, 21
172, 101, 21
172, 92, 21
172, 109, 21
172, 70, 21
172, 85, 21
172, 70, 21
172, 74, 21
172, 78, 21
172, 105, 21
172, 96, 21
172, 105, 21
172, 70, 21
172, 74, 21
172, 82, 21
172, 70, 21
172, 89, 21
172, 96, 21
172, 100, 21
172, 85, 21
172, 85, 21
172, 70, 21
172, 74, 21
172, 78, 21
172, 89, 21
172, 100, 21
172, 101, 21
172, 85, 21
172, 70, 21
172, 81, 21
172, 74, 21
172, 74, 21
172, 97, 21
172, 95, 21
172, 105, 21
172, 78, 21
172, 82, 21
172, 70, 21
172, 74, 21
172, 74, 21
172, 109, 21
172, 96, 21
172, 105, 21
172, 67, 21
172, 78, 21
172, 82, 21
172, 70, 21
172, 89, 21
172, 96, 21
172, 100, 21
172, 85, 21
172, 82, 21
172, 78, 21
172, 70, 21
172, 78, 21
172, 89, 21
172, 96, 21
172, 105, 21
172, 81, 21
172, 74, 21
172, 81, 21
172, 74, 21
172, 74, 21
172, 97, 21
172, 95, 21
172, 105, 21
172, 81, 21
172, 74, 21
172, 70, 21
172, 81, 21
172, 70, 21
172, 109, 21
172, 93, 21
172, 105, 21
172, 71, 21
172, 78, 21
172, 78, 21
172, 74, 21
172, 89, 21
172, 96, 21
172, 100, 21
172, 85, 21
172, 85, 21
172, 74, 21
172, 70, 21
172, 74, 21
172, 97, 21
172, 100, 21
172, 105, 21
172, 81, 21
172, 70, 21
172, 70, 21
172, 85, 21
172, 70, 21
172, 109, 21
172, 88, 21
172, 105, 21
172, 74, 21
172, 78, 21
172, 74, 21
172, 74, 21
172, 81, 21
172, 105, 21
172, 100, 21
44, 85, 21
44, 81, 21
44, 78, 21
44, 70, 21
44, 78, 21
44, 78, 21
44, 74, 21
44, 70, 21
44, 63, 21
44, 46, 21
44, 48, 21
44, 78, 21
44, 74, 21
44, 39, 21
44, 33, 21
44, 74, 21
44, 49, 21
44, 27, 21
44, 70, 21
44, 27, 21
44, 52, 21
44, 50, 21
44, 22, 21
44, 74, 21
44, 7, 21
44, 74, 21
44, 3, 21
44, 66, 21
44, 3, 21
44, 58, 21
44, 26, 21
44, 27, 21
44, 39, 21
44, 3, 21
44, 78, 21
44, 0, 21
44, 35, 21
44, 37, 21
44, 3, 21
44, 55, 21
44, 15, 21
44, 7, 21
44, 70, 20
44, 0, 21
44, 15, 21
44, 63, 21
44, -3, 21
44, 14, 21
44, 62, 21
44, 0, 21
44, 0, 21
44, 59, 21
44, 15, 21
44, 0, 21
44, 44, 21
44, 26, 21
44, 0, 21
44, 22, 21
44, 62, 21
44, -3, 21
44, 0, 21
44, 48, 21
44, 31, 21
44, -3, 21
44, 22, 21
44, 52, 21
44, 0, 21
44, 3, 21
44, 40, 21
44, 27, 21
44, 7, 21
44, 11, 21
44, 48, 21
44, 11, 21
44, 0, 21
44, 31, 21
44, 42, 21
44, 0, 21
44, 0, 21
44, 46, 21
44, 29, 21
44, 0, 21
44, 7, 21
44, 54, 21
44, 14, 21
44, 0, 21
44, 18, 21
44, 55, 21
44, 3, 21
44, -3, 21
44, 33, 21
44, 39, 21
44, 7, 21
44, -3, 21
44, 46, 21
44, 33, 21
44, -3, 21
44, 3, 21
44, 54, 20
44, 17, 21
44, 0, 21
44, 14, 21
44, 50, 21
44, 7, 21
44, 3, 21
44, 18, 21
44, 58, 21
44, 3, 21
44, -3, 21
44, 29, 21
44, 48, 21
44, -3, 21
44, 0, 21
44, 37, 21
44, 35, 21
44, 7, 21
44, 0, 21
44, 40, 21
44, 31, 21
44, 0, 21
44, 0, 21
44, 46, 20
44, 33, 21
44, -7, 21
44, 3, 21
44, 46, 21
44, 33, 21
44, -7, 21
44, 3, 21
44, 46, 21
44, 33, 21
44, -7, 21
44, 3, 21
44, 50, 21
44, 26, 21
44, 0, 21
44, 3, 21
44, 50, 21
44, 18, 21
44, 7, 21
44, 3, 21
44, 54, 21
44, 18, 21
44, -7, 21
44, 18, 21
44, 50, 21
44, 7, 21
44, 3, 21
44, 19, 21
44, 52, 21
44, 7, 21
44, -3, 21
44, 31, 21
44, 48, 21
44, -3, 21
44, 0, 21
44, 39, 20
44, 35, 21
44, 3, 21
44, -3, 21
44, 46, 21
44, 33, 21
44, -3, 21
44, 3, 21
44, 54, 21
44, 18, 21
44, -3, 21
44, 18, 21
44, 48, 21
44, 7, 21
44, 7, 21
44, 22, 21
118, 50, 21
118, 3, 21
118, 15, 21
118, 58, 21
118, 28, 21
118, 46, 21
118, 70, 21
118, 35, 21
118, 48, 21
118, 74, 21
118, 67, 21
118, 54, 21
118, 44, 21
118, 62, 21
118, 70, 21
118, 74, 21
118, 78, 21
118, 74, 21
118, 70, 21
118, 62, 21
118, 59, 21
118, 59, 21
118, 63, 21
118, 62, 21
118, 78, 21
118, 74, 21
118, 74, 21
118, 78, 21
118, 70, 21
118, 82, 21
118, 70, 21
118, 78, 21
118, 74, 21
118, 70, 21
118, 85, 21
118, 70, 21
118, 78, 21
118, 78, 21
118, 66, 21
118, 78, 21
118, 78, 21
118, 74, 21
118, 74, 21
118, 63, 21
118, 74, 21
118, 70, 21
118, 70, 21
118, 70, 21
118, 78, 21
118, 67, 21
118, 70, 21
118, 70, 21
118, 78, 21
118, 70, 21
118, 66, 21
118, 70, 21
118, 78, 21
118, 70, 21
118, 70, 21
118, 70, 21
118, 74, 21
118, 74, 21
118, 82, 21
118, 70, 21
118, 78, 21
118, 82, 21
118, 71, 21
118, 74, 21
118, 70, 21
118, 85, 21
118, 74, 21
